name;id
TGEV;NC_002306
PRCV;DQ811787
FCoV;NC_012937
HCoV-229E;NC_002645
HCoV-NL63;NC_005831
PEDV;NC_003436
Sc-BatCoV 512;NC_009657
Rh-BatCoV-HKU2;NC_009988
Mi-BatCoV-HKU8;NC_010438
Mi-BatCoV 1A;NC_010437
Mi-BatCoV 1B;NC_010436
HCoV-OC43;NC_005147
BCoV;NC_003045
PHEV;NC_007732
HCoV-HKU1;NC_006577
MHV;NC_006852
ECoV;NC_010327
SARSr-CoV;NC_004718
SARSr-Rh-BatCoV;NC_009694
Ty-BatCoV-HKU4;NC_009019
Pi-BatCoV-HKU5;NC_009020
Ro-BatCoV-HKU9;NC_009021
IBV;NC_001451
TCoV;NC_010800
SW1;NC_010646
BuCoV HKU11;FJ376620
ThCoV HKU12;NC_011549
MunCoV HKU13;NC_011550
